Coefficient of Variation for Change: Percent Total by Variable

+------------+-----------+-----------------+---------+
|  variable  | change_cv | change_cv_count | percent |
| b15002_011 |    high   |        88       |   0.2   |
| b15002_012 |    low    |      39188      |   98.7  |
| b15002_012 |   medium  |       495       |   1.2   |
| b15002_012 |    high   |        13       |   0.0   |
| b15002_013 |    low    |      50267      |   98.3  |
| b15002_013 |   medium  |       872       |   1.7   |
| b15002_013 |    high   |        11       |   0.0   |
| b15002_014 |    low    |      44088      |   97.6  |
| b15002_014 |   medium  |       1011      |   2.2   |
| b15002_014 |    high   |        74       |   0.2   |
| b15002_015 |    low    |      52651      |   94.1  |
| b15002_015 |   medium  |       2918      |   5.2   |
| b15002_015 |    high   |       390       |   0.7   |
| b15002_016 |    low    |      37596      |   95.2  |
| b15002_016 |   medium  |       1624      |   4.1   |
| b15002_016 |    high   |       257       |   0.7   |
| b15002_017 |    low    |      17037      |   98.2  |
| b15002_017 |   medium  |       284       |   1.6   |
| b15002_017 |    high   |        21       |   0.1   |
| b15002_018 |    low    |      13147      |   98.2  |
| b15002_018 |   medium  |       214       |   1.6   |
| b15002_018 |    high   |        28       |   0.2   |
| b15002_019 |    low    |      65095      |   83.9  |
| b15002_019 |   medium  |       8556      |   11.0  |
