Coefficient of Variation for Change: Percent Total by All Categories

+------------+--------+----------+-----------+-----------------+---------+
|  variable  | table  | sumlevel | change_cv | change_cv_count | percent |
| b01001_006 | b01001 |   860    |   medium  |       122       |   3.0   |
| b01001_006 | b01001 |   860    |    high   |        18       |   0.4   |
| b01001_007 | b01001 |   010    |    high   |        1        |  100.0  |
| b01001_007 | b01001 |   020    |    high   |        3        |  100.0  |
| b01001_007 | b01001 |   030    |   medium  |        3        |   33.3  |
| b01001_007 | b01001 |   030    |    high   |        6        |   66.7  |
| b01001_007 | b01001 |   040    |    low    |        6        |   15.0  |
| b01001_007 | b01001 |   040    |   medium  |        19       |   47.5  |
| b01001_007 | b01001 |   040    |    high   |        15       |   37.5  |
| b01001_007 | b01001 |   050    |    low    |       721       |   62.0  |
| b01001_007 | b01001 |   050    |   medium  |       239       |   20.6  |
| b01001_007 | b01001 |   050    |    high   |       203       |   17.5  |
| b01001_007 | b01001 |   060    |    low    |       3368      |   96.5  |
| b01001_007 | b01001 |   060    |   medium  |       108       |   3.1   |
| b01001_007 | b01001 |   060    |    high   |        15       |   0.4   |
| b01001_007 | b01001 |   140    |    low    |       9501      |   98.5  |
| b01001_007 | b01001 |   140    |   medium  |       143       |   1.5   |
| b01001_007 | b01001 |   140    |    high   |        1        |   0.0   |
| b01001_007 | b01001 |   150    |    low    |      12395      |   99.4  |
| b01001_007 | b01001 |   150    |   medium  |        74       |   0.6   |
| b01001_007 | b01001 |   150    |    high   |        1        |   0.0   |
| b01001_007 | b01001 |   160    |    low    |       2203      |   97.0  |
| b01001_007 | b01001 |   160    |   medium  |        58       |   2.6   |
| b01001_007 | b01001 |   160    |    high   |        11       |   0.5   |
| b01001_007 | b01001 |   170    |    low    |        5        |  100.0  |
| b01001_007 | b01001 |   250    |    low    |        44       |   91.7  |
| b01001_007 | b01001 |   250    |   medium  |        4        |   8.3   |
| b01001_007 | b01001 |   251    |    low    |        37       |   97.4  |
| b01001_007 | b01001 |   251    |   medium  |        1        |   2.6   |
| b01001_007 | b01001 |   256    |    low    |        36       |   87.8  |
