"table"	"variable"	"sumlevel"	"sig_dif"	"sig_dif_count"
"b01001"	"b01001_016"	"500"	True	260
"b01001"	"b01001_016"	"795"	False	1214
"b01001"	"b01001_016"	"795"	True	1164
"b01001"	"b01001_016"	"860"	False	27895
"b01001"	"b01001_016"	"860"	True	5225
"b01001"	"b01001_017"	"010"	True	1
"b01001"	"b01001_017"	"020"	True	4
"b01001"	"b01001_017"	"030"	True	9
"b01001"	"b01001_017"	"040"	False	15
"b01001"	"b01001_017"	"040"	True	37
"b01001"	"b01001_017"	"050"	False	2441
"b01001"	"b01001_017"	"050"	True	779
"b01001"	"b01001_017"	"060"	False	31701
"b01001"	"b01001_017"	"060"	True	4843
"b01001"	"b01001_017"	"140"	False	62804
"b01001"	"b01001_017"	"140"	True	10838
"b01001"	"b01001_017"	"150"	False	193695
"b01001"	"b01001_017"	"150"	True	26279
"b01001"	"b01001_017"	"160"	False	26087
"b01001"	"b01001_017"	"160"	True	3423
"b01001"	"b01001_017"	"170"	False	7
"b01001"	"b01001_017"	"170"	True	1
"b01001"	"b01001_017"	"250"	False	635
"b01001"	"b01001_017"	"250"	True	58
"b01001"	"b01001_017"	"251"	False	435
"b01001"	"b01001_017"	"251"	True	45
"b01001"	"b01001_017"	"256"	False	427
"b01001"	"b01001_017"	"256"	True	54
"b01001"	"b01001_017"	"258"	False	795
"b01001"	"b01001_017"	"258"	True	120
"b01001"	"b01001_017"	"310"	False	570
"b01001"	"b01001_017"	"310"	True	226
"b01001"	"b01001_017"	"400"	False	3008
"b01001"	"b01001_017"	"400"	True	584
"b01001"	"b01001_017"	"500"	False	174
"b01001"	"b01001_017"	"500"	True	194
"b01001"	"b01001_017"	"795"	False	1643
"b01001"	"b01001_017"	"795"	True	735
"b01001"	"b01001_017"	"860"	False	28517
"b01001"	"b01001_017"	"860"	True	4603
"b01001"	"b01001_018"	"010"	True	1
"b01001"	"b01001_018"	"020"	True	4
"b01001"	"b01001_018"	"030"	True	9
"b01001"	"b01001_018"	"040"	False	9
"b01001"	"b01001_018"	"040"	True	43
"b01001"	"b01001_018"	"050"	False	2525
"b01001"	"b01001_018"	"050"	True	695
"b01001"	"b01001_018"	"060"	False	32704
"b01001"	"b01001_018"	"060"	True	3840
"b01001"	"b01001_018"	"140"	False	64282
"b01001"	"b01001_018"	"140"	True	9360
"b01001"	"b01001_018"	"150"	False	205674
"b01001"	"b01001_018"	"150"	True	14300
"b01001"	"b01001_018"	"160"	False	27039
