"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b05002"	"b05002_021"	"500"	"medium"	62
"b05002"	"b05002_021"	"795"	"high"	11
"b05002"	"b05002_021"	"795"	"low"	2217
"b05002"	"b05002_021"	"795"	"medium"	149
"b05002"	"b05002_021"	"795"	""	1
"b05002"	"b05002_021"	"860"	"high"	8
"b05002"	"b05002_021"	"860"	"low"	25619
"b05002"	"b05002_021"	"860"	"medium"	234
"b05002"	"b05002_021"	"860"	""	7259
"b07204"	"b07204_001"	"010"	"high"	1
"b07204"	"b07204_001"	"020"	"high"	4
"b07204"	"b07204_001"	"030"	"high"	8
"b07204"	"b07204_001"	"030"	"medium"	1
"b07204"	"b07204_001"	"040"	"high"	47
"b07204"	"b07204_001"	"040"	"low"	1
"b07204"	"b07204_001"	"040"	"medium"	3
"b07204"	"b07204_001"	"040"	""	1
"b07204"	"b07204_001"	"050"	"high"	1778
"b07204"	"b07204_001"	"050"	"low"	785
"b07204"	"b07204_001"	"050"	"medium"	578
"b07204"	"b07204_001"	"050"	""	79
"b07204"	"b07204_001"	"060"	"high"	1493
"b07204"	"b07204_001"	"060"	"low"	31443
"b07204"	"b07204_001"	"060"	"medium"	2297
"b07204"	"b07204_001"	"060"	""	1311
"b07204"	"b07204_001"	"140"	"high"	573
"b07204"	"b07204_001"	"140"	"low"	69029
"b07204"	"b07204_001"	"140"	"medium"	2792
"b07204"	"b07204_001"	"140"	""	1248
"b07204"	"b07204_001"	"160"	"high"	2184
"b07204"	"b07204_001"	"160"	"low"	25232
"b07204"	"b07204_001"	"160"	"medium"	1650
"b07204"	"b07204_001"	"160"	""	444
"b07204"	"b07204_001"	"170"	"high"	5
"b07204"	"b07204_001"	"170"	"low"	2
"b07204"	"b07204_001"	"170"	"medium"	1
"b07204"	"b07204_001"	"250"	"high"	9
"b07204"	"b07204_001"	"250"	"low"	600
"b07204"	"b07204_001"	"250"	"medium"	18
"b07204"	"b07204_001"	"250"	""	66
"b07204"	"b07204_001"	"251"	"high"	2
"b07204"	"b07204_001"	"251"	"low"	428
"b07204"	"b07204_001"	"251"	"medium"	7
"b07204"	"b07204_001"	"251"	""	43
"b07204"	"b07204_001"	"256"	"high"	2
"b07204"	"b07204_001"	"256"	"low"	442
"b07204"	"b07204_001"	"256"	"medium"	6
"b07204"	"b07204_001"	"256"	""	31
"b07204"	"b07204_001"	"310"	"high"	547
"b07204"	"b07204_001"	"310"	"low"	137
"b07204"	"b07204_001"	"310"	"medium"	103
"b07204"	"b07204_001"	"310"	""	9
"b07204"	"b07204_001"	"400"	"high"	202
"b07204"	"b07204_001"	"400"	"low"	3041
"b07204"	"b07204_001"	"400"	"medium"	327
"b07204"	"b07204_001"	"400"	""	22
"b07204"	"b07204_001"	"500"	"high"	246
"b07204"	"b07204_001"	"500"	"low"	59
"b07204"	"b07204_001"	"500"	"medium"	62
"b07204"	"b07204_001"	"500"	""	1
"b07204"	"b07204_001"	"795"	"high"	1078
"b07204"	"b07204_001"	"795"	"low"	743
"b07204"	"b07204_001"	"795"	"medium"	530
"b07204"	"b07204_001"	"795"	""	27
"b07204"	"b07204_001"	"860"	"high"	493
"b07204"	"b07204_001"	"860"	"low"	30553
"b07204"	"b07204_001"	"860"	"medium"	1668
"b07204"	"b07204_001"	"860"	""	406
"b07204"	"b07204_002"	"010"	"high"	1
"b07204"	"b07204_002"	"020"	"high"	4
"b07204"	"b07204_002"	"030"	"high"	8
"b07204"	"b07204_002"	"030"	"low"	1
"b07204"	"b07204_002"	"040"	"high"	38
"b07204"	"b07204_002"	"040"	"low"	6
"b07204"	"b07204_002"	"040"	"medium"	7
"b07204"	"b07204_002"	"040"	""	1
"b07204"	"b07204_002"	"050"	"high"	262
"b07204"	"b07204_002"	"050"	"low"	2417
"b07204"	"b07204_002"	"050"	"medium"	459
"b07204"	"b07204_002"	"050"	""	82
"b07204"	"b07204_002"	"060"	"high"	255
"b07204"	"b07204_002"	"060"	"low"	33950
"b07204"	"b07204_002"	"060"	"medium"	1017
"b07204"	"b07204_002"	"060"	""	1322
"b07204"	"b07204_002"	"140"	"high"	166
"b07204"	"b07204_002"	"140"	"low"	70236
"b07204"	"b07204_002"	"140"	"medium"	1979
"b07204"	"b07204_002"	"140"	""	1261
"b07204"	"b07204_002"	"160"	"high"	293
"b07204"	"b07204_002"	"160"	"low"	27795
"b07204"	"b07204_002"	"160"	"medium"	948
"b07204"	"b07204_002"	"160"	""	474
"b07204"	"b07204_002"	"170"	"high"	2
"b07204"	"b07204_002"	"170"	"low"	6
"b07204"	"b07204_002"	"250"	"high"	2
"b07204"	"b07204_002"	"250"	"low"	599
"b07204"	"b07204_002"	"250"	"medium"	23
"b07204"	"b07204_002"	"250"	""	69
"b07204"	"b07204_002"	"251"	"low"	431
"b07204"	"b07204_002"	"251"	"medium"	6
"b07204"	"b07204_002"	"251"	""	43
"b07204"	"b07204_002"	"256"	"low"	445
"b07204"	"b07204_002"	"256"	"medium"	7
"b07204"	"b07204_002"	"256"	""	29
"b07204"	"b07204_002"	"310"	"high"	117
"b07204"	"b07204_002"	"310"	"low"	514
"b07204"	"b07204_002"	"310"	"medium"	155
"b07204"	"b07204_002"	"310"	""	10
"b07204"	"b07204_002"	"400"	"high"	97
