"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b25063"	"b25063_023"	"060"	"medium"	285
"b25063"	"b25063_023"	"140"	"high"	43
"b25063"	"b25063_023"	"140"	"low"	6808
"b25063"	"b25063_023"	"140"	"medium"	1035
"b25063"	"b25063_023"	"150"	"high"	31
"b25063"	"b25063_023"	"150"	"low"	8659
"b25063"	"b25063_023"	"150"	"medium"	762
"b25063"	"b25063_023"	"160"	"high"	123
"b25063"	"b25063_023"	"160"	"low"	1259
"b25063"	"b25063_023"	"160"	"medium"	368
"b25063"	"b25063_023"	"170"	"high"	1
"b25063"	"b25063_023"	"170"	"low"	1
"b25063"	"b25063_023"	"170"	"medium"	2
"b25063"	"b25063_023"	"250"	"low"	8
"b25063"	"b25063_023"	"250"	"medium"	3
"b25063"	"b25063_023"	"251"	"low"	1
"b25063"	"b25063_023"	"256"	"low"	8
"b25063"	"b25063_023"	"258"	"low"	5
"b25063"	"b25063_023"	"310"	"high"	41
"b25063"	"b25063_023"	"310"	"low"	111
"b25063"	"b25063_023"	"310"	"medium"	70
"b25063"	"b25063_023"	"400"	"high"	60
"b25063"	"b25063_023"	"400"	"low"	249
"b25063"	"b25063_023"	"400"	"medium"	80
"b25063"	"b25063_023"	"500"	"high"	131
"b25063"	"b25063_023"	"500"	"low"	69
"b25063"	"b25063_023"	"500"	"medium"	102
"b25063"	"b25063_023"	"795"	"high"	230
"b25063"	"b25063_023"	"795"	"low"	635
"b25063"	"b25063_023"	"795"	"medium"	445
"b25063"	"b25063_023"	"860"	"high"	155
"b25063"	"b25063_023"	"860"	"low"	2184
"b25063"	"b25063_023"	"860"	"medium"	863
"b25063"	"b25063_024"	"010"	"medium"	1
"b25063"	"b25063_024"	"020"	"medium"	2
"b25063"	"b25063_024"	"030"	"low"	2
"b25063"	"b25063_024"	"030"	"medium"	2
"b25063"	"b25063_024"	"040"	"low"	14
"b25063"	"b25063_024"	"040"	"medium"	4
"b25063"	"b25063_024"	"050"	"low"	555
"b25063"	"b25063_024"	"050"	"medium"	37
"b25063"	"b25063_024"	"060"	"high"	3
"b25063"	"b25063_024"	"060"	"low"	3100
"b25063"	"b25063_024"	"060"	"medium"	46
"b25063"	"b25063_024"	"140"	"high"	3
"b25063"	"b25063_024"	"140"	"low"	6025
"b25063"	"b25063_024"	"140"	"medium"	56
"b25063"	"b25063_024"	"150"	"high"	2
"b25063"	"b25063_024"	"150"	"low"	6561
"b25063"	"b25063_024"	"150"	"medium"	44
"b25063"	"b25063_024"	"160"	"high"	4
"b25063"	"b25063_024"	"160"	"low"	1823
"b25063"	"b25063_024"	"160"	"medium"	27
"b25063"	"b25063_024"	"170"	"low"	4
"b25063"	"b25063_024"	"250"	"low"	55
"b25063"	"b25063_024"	"250"	"medium"	10
"b25063"	"b25063_024"	"251"	"low"	51
"b25063"	"b25063_024"	"251"	"medium"	3
"b25063"	"b25063_024"	"256"	"low"	51
"b25063"	"b25063_024"	"256"	"medium"	14
"b25063"	"b25063_024"	"258"	"low"	99
"b25063"	"b25063_024"	"258"	"medium"	10
"b25063"	"b25063_024"	"310"	"low"	158
"b25063"	"b25063_024"	"310"	"medium"	15
"b25063"	"b25063_024"	"400"	"high"	2
"b25063"	"b25063_024"	"400"	"low"	453
"b25063"	"b25063_024"	"400"	"medium"	14
"b25063"	"b25063_024"	"500"	"low"	66
"b25063"	"b25063_024"	"500"	"medium"	10
"b25063"	"b25063_024"	"795"	"high"	1
"b25063"	"b25063_024"	"795"	"low"	401
"b25063"	"b25063_024"	"795"	"medium"	30
"b25063"	"b25063_024"	"860"	"high"	4
"b25063"	"b25063_024"	"860"	"low"	3308
"b25063"	"b25063_024"	"860"	"medium"	48
"b25064"	"b25064_001"	"010"	"high"	1
"b25064"	"b25064_001"	"020"	"high"	4
"b25064"	"b25064_001"	"030"	"high"	9
"b25064"	"b25064_001"	"040"	"high"	33
"b25064"	"b25064_001"	"040"	"low"	7
"b25064"	"b25064_001"	"040"	"medium"	7
"b25064"	"b25064_001"	"050"	"high"	101
"b25064"	"b25064_001"	"050"	"low"	661
"b25064"	"b25064_001"	"050"	"medium"	171
"b25064"	"b25064_001"	"060"	"high"	229
"b25064"	"b25064_001"	"060"	"low"	3811
"b25064"	"b25064_001"	"060"	"medium"	824
"b25064"	"b25064_001"	"140"	"high"	213
"b25064"	"b25064_001"	"140"	"low"	13080
"b25064"	"b25064_001"	"140"	"medium"	3095
"b25064"	"b25064_001"	"150"	"high"	550
"b25064"	"b25064_001"	"150"	"low"	25471
"b25064"	"b25064_001"	"150"	"medium"	5752
"b25064"	"b25064_001"	"160"	"high"	215
"b25064"	"b25064_001"	"160"	"low"	3335
"b25064"	"b25064_001"	"160"	"medium"	836
"b25064"	"b25064_001"	"170"	"high"	2
"b25064"	"b25064_001"	"170"	"low"	1
"b25064"	"b25064_001"	"170"	"medium"	1
"b25064"	"b25064_001"	"250"	"high"	1
